iter	Passed	Remaining
399	28600	7150
400	28742	7096
401	28822	7026
402	28883	6952
403	28978	6886
404	29057	6815
405	29139	6746
406	29207	6674
407	29235	6592
408	29361	6532
409	29429	6460
410	29528	6394
411	29575	6317
412	29596	6234
413	29638	6156
414	29708	6084
415	29742	6005
416	29827	5936
417	29920	5869
418	29944	5788
419	29969	5708
420	30056	5639
421	30093	5562
422	30173	5492
423	30265	5424
424	30315	5349
425	30336	5269
426	30445	5204
427	30468	5125
428	30514	5050
429	30565	4975
430	30649	4906
431	30680	4829
432	30703	4750
433	30789	4682
434	30834	4607
435	30961	4544
436	31035	4474
437	31061	4396
438	31105	4322
439	31172	4250
440	31288	4185
441	31413	4122
442	31442	4045
443	31527	3976
444	31659	3913
445	31774	3847
446	31796	3770
447	31827	3694
448	31912	3624
449	32002	3555
450	32094	3487
451	32163	3415
452	32183	3339
453	32208	3263
454	32294	3193
455	32340	3120
456	32443	3052
457	32515	2981
458	32540	2906
459	32569	2832
460	32664	2763
461	32720	2691
462	32807	2621
463	32901	2552
464	32926	2478
465	32998	2407
466	33047	2335
467	33084	2262
468	33181	2193
469	33258	2122
470	33282	2049
471	33325	1976
472	33422	1907
473	33622	1844
474	33648	1770
475	33744	1701
476	33781	1628
477	33864	1558
478	33939	1487
479	33989	1416
480	34011	1343
481	34058	1271
482	34135	1201
483	34170	1129
484	34224	1058
485	34280	987
486	34346	916
487	34373	845
488	34406	773
489	34491	703
490	34527	632
491	34650	563
492	34714	492
493	34736	421
494	34760	351
495	34813	280
496	34862	210
497	34897	140
498	34949	70
499	34999	0
