iter	RMSE
0	2.197764483
1	2.019097329
2	1.857598591
3	1.715583133
4	1.588700131
5	1.477942065
6	1.380668969
7	1.295530155
8	1.222297479
9	1.157340848
10	1.1018343
11	1.05400951
12	1.012543006
13	0.9775294854
14	0.9483861168
15	0.9235495349
16	0.9026728662
17	0.8842331653
18	0.8692993722
19	0.8564701831
20	0.845822365
21	0.8366991737
22	0.8290995872
23	0.8225990846
24	0.8170466057
25	0.8122114393
26	0.8080739045
27	0.804939613
28	0.8016091485
29	0.7988511111
30	0.7964316472
31	0.7940831601
32	0.791536283
33	0.789739435
34	0.7879532233
35	0.7863090553
36	0.7849071489
37	0.7836046476
38	0.7824875419
39	0.7809273782
40	0.7799058084
41	0.7788002898
42	0.7776193882
43	0.7763332584
44	0.7757776947
45	0.7748676061
46	0.7738733341
47	0.7726622146
48	0.7721425844
49	0.7709996866
50	0.7698258409
51	0.7689271026
52	0.7678585547
53	0.7669563617
54	0.7664974757
55	0.7657825871
56	0.7650837723
57	0.7644798875
58	0.7635338387
59	0.7628609122
60	0.7625529865
61	0.7616597373
62	0.7606310719
63	0.7598750026
64	0.7591181214
65	0.7581967219
66	0.7574500946
67	0.7568722232
68	0.7565769824
69	0.7560263742
70	0.7553349985
71	0.7548578249
72	0.7544440537
73	0.7534516514
74	0.7527968894
75	0.7519870249
76	0.7515279038
77	0.7509482473
78	0.7505864339
79	0.7498975045
80	0.749184614
81	0.7485790708
82	0.7481074404
83	0.7479374505
84	0.7472053999
85	0.7464771584
86	0.7461252114
87	0.7454814128
88	0.7450108572
89	0.7446911728
90	0.744291166
91	0.7437976202
92	0.7427975913
93	0.7423072396
94	0.7419453045
95	0.741408432
96	0.7409106816
97	0.7401126867
98	0.7393927162
99	0.7389126236
100	0.7385898331
101	0.7377372294
102	0.7371990459
103	0.7365335039
104	0.7359014481
105	0.7356475977
106	0.7351181183
107	0.7345047884
108	0.7340580458
109	0.7336707693
110	0.7332853542
111	0.7329804217
112	0.7325649098
113	0.7317827105
114	0.7312890654
115	0.7310211521
116	0.7306085852
117	0.7301700661
118	0.7299375541
119	0.7294084031
120	0.7291958266
121	0.7285551841
122	0.7282413147
123	0.7277403862
124	0.7271636762
125	0.7266519245
126	0.7264976163
127	0.7260293246
128	0.7257066751
129	0.7253025581
130	0.7250433722
131	0.7244969826
132	0.7237730056
133	0.7234169917
134	0.7227399981
135	0.7222606351
136	0.7218769874
137	0.7216991167
138	0.7212749049
139	0.7209641055
140	0.7204594018
141	0.7200709138
142	0.7197544645
143	0.7194626319
144	0.7192545574
145	0.71912795
146	0.7187245785
147	0.7180979445
148	0.7177512933
149	0.7172132988
150	0.7168655746
151	0.7165284744
152	0.7160710401
153	0.7157868158
154	0.7155528966
155	0.7152602102
156	0.7145959877
157	0.713962535
158	0.7133747424
159	0.7132549457
160	0.7128408286
161	0.7121685171
162	0.7118177806
163	0.7115622306
164	0.7113085201
165	0.710944835
166	0.7104860749
167	0.7101243694
168	0.7098062168
169	0.7096073729
170	0.7089211202
171	0.7083567783
172	0.7080202203
173	0.7075706458
174	0.7072582635
175	0.7065187254
176	0.7061285828
177	0.7058829396
178	0.705665809
179	0.7054430197
180	0.7052714897
181	0.7051509593
182	0.7046756921
183	0.704275097
184	0.7040585971
185	0.7038950801
186	0.70365616
187	0.7033044884
188	0.7027499106
189	0.7024717138
190	0.7019847747
191	0.7014376267
192	0.7009000569
193	0.7003902186
194	0.7001647318
195	0.6998475818
196	0.6997260243
197	0.6993868376
198	0.6990086491
199	0.6986714186
200	0.6985335507
201	0.6984439041
202	0.6979399447
203	0.697319839
204	0.6969562548
205	0.6964112766
206	0.6959654057
207	0.6955761594
208	0.6954380234
209	0.694941348
210	0.6945323648
211	0.6941663265
212	0.6938183119
213	0.6934154443
214	0.6930434403
215	0.6926544326
216	0.6921974181
217	0.691778715
218	0.6914240237
219	0.6911786946
220	0.6908175506
221	0.6904768521
222	0.6901808617
223	0.6901255608
