iter	RMSE
224	0.689882672
225	0.6895764448
226	0.6892472722
227	0.6888697939
228	0.6884132432
229	0.6881322046
230	0.6879018862
231	0.6876250574
232	0.6874488559
233	0.6871012484
234	0.6868921971
235	0.6866003445
236	0.6862658258
237	0.6859371182
238	0.6855802185
239	0.6854443796
240	0.6850988429
241	0.6850312122
242	0.6847159345
243	0.6844178052
244	0.6840585635
245	0.68388813
246	0.6834033894
247	0.683112676
248	0.6828021748
249	0.6825054416
250	0.6822958975
251	0.6819538616
252	0.6815747791
253	0.6813977032
254	0.6812445028
255	0.6808375589
256	0.6805050153
257	0.68036837
258	0.680063213
259	0.6797182472
260	0.6794846931
261	0.6791017049
262	0.6788036452
263	0.6784095601
264	0.6780454145
265	0.6775384626
266	0.6774920626
267	0.677328597
268	0.6770043083
269	0.6766538959
270	0.6763468155
271	0.6762425124
272	0.67589047
273	0.6756722484
274	0.6755997904
275	0.6752366712
276	0.6747291235
277	0.6745975549
278	0.6742815952
279	0.6737730355
280	0.6735729873
281	0.6732943632
282	0.6728482321
283	0.6727164815
284	0.6726145656
285	0.6724239748
286	0.6722702754
287	0.6719524965
288	0.6718141633
289	0.6715154126
290	0.6712006597
291	0.670904303
292	0.6705443255
293	0.670156631
294	0.6699694103
295	0.6697659373
296	0.6695476982
297	0.6692315165
298	0.669090856
299	0.6689967208
300	0.6688091205
301	0.668530006
302	0.6682893213
303	0.668062201
304	0.6675605854
305	0.6674250261
306	0.6672112336
307	0.6669487526
308	0.6665673309
309	0.6661908926
310	0.6658522581
311	0.6656043118
312	0.6652369897
313	0.6649718612
314	0.6649008057
315	0.6647266047
316	0.6641580384
317	0.6637902325
318	0.6636480918
319	0.6631238969
320	0.6627471769
321	0.6624610869
322	0.6622453358
323	0.661947776
324	0.6613922221
325	0.6612054037
326	0.6609686013
327	0.6606178524
328	0.6603395976
329	0.6600092004
330	0.6597224175
331	0.6594198222
332	0.6591097407
333	0.6590236039
334	0.6586042692
335	0.6583364028
336	0.6581180924
337	0.6578411262
338	0.6577204678
339	0.6575102982
340	0.6574589876
341	0.6573736106
342	0.6573213932
343	0.6569669056
344	0.6567893969
345	0.6565844737
346	0.6562213351
347	0.6559405178
348	0.6554727311
349	0.6552495759
350	0.6550168466
351	0.6547845943
352	0.6545410916
353	0.6542750545
354	0.6539928239
355	0.6537769645
356	0.6534449811
357	0.6532759435
358	0.652928387
359	0.6525885596
360	0.6524389949
361	0.6523460271
362	0.6519756111
363	0.6518873204
364	0.6517091772
365	0.6513411442
366	0.6510314021
367	0.6508079399
368	0.6505533728
369	0.6504092945
370	0.6501876019
371	0.6499861548
372	0.6495508933
373	0.6494774386
374	0.6490583279
375	0.6487912083
376	0.6486083689
377	0.648416698
378	0.6482945922
379	0.6482236207
380	0.6481665071
381	0.6477918116
382	0.6475938144
383	0.647305122
384	0.6471238927
385	0.6469423039
386	0.6466965375
387	0.6464594974
388	0.6463941999
389	0.6459398467
390	0.6456524539
391	0.6452329663
392	0.6449539905
393	0.6448435388
394	0.6447478051
395	0.6444164457
396	0.6442496316
397	0.6440217235
398	0.6436891633
399	0.643495077
400	0.6431959045
401	0.6429462656
402	0.6427986293
403	0.6425686203
404	0.6423893942
405	0.6421627956
406	0.6418064239
407	0.6416090932
408	0.6413871565
409	0.6412078835
410	0.6410388853
411	0.6408483508
412	0.6405201869
413	0.6402302353
414	0.6399536061
415	0.6396262346
416	0.6393877096
417	0.6393324176
418	0.639159929
419	0.6389425395
420	0.6387327076
421	0.6384222434
422	0.6381708794
423	0.6378299767
424	0.6376429541
425	0.6374456472
426	0.6373623737
427	0.6372144729
428	0.636895956
429	0.6368130861
430	0.6366401196
431	0.6363073771
432	0.6362219358
433	0.6361673896
434	0.6359261232
435	0.6357700078
436	0.6354870433
437	0.6352345599
438	0.6350513416
439	0.6348957563
440	0.6348530729
441	0.6346210496
442	0.634406345
443	0.6340862327
444	0.6337573387
445	0.6335959961
446	0.6334456034
447	0.6333730144
448	0.6333044411
449	0.6332427025
450	0.6329208948
451	0.6327377115
452	0.6326314045
453	0.6324235178
454	0.632286374
455	0.6319716853
456	0.6316516447
457	0.6315164408
458	0.631076878
459	0.6310197956
460	0.6309176798
461	0.630745385
462	0.6304432086
463	0.6301299283
464	0.6299710327
465	0.6298627023
466	0.629576027
467	0.6295109478
468	0.6292032179
469	0.62910877
470	0.6289591019
471	0.6288063326
472	0.6286085562
473	0.6284863255
474	0.6279962397
475	0.6278479636
476	0.6276921664
477	0.627565631
478	0.6273885416
479	0.627231029
480	0.6269974123
481	0.626814445
482	0.6265579927
483	0.6263485221
484	0.6261496344
485	0.6261142275
486	0.6258966999
487	0.6256429065
488	0.6255256656
489	0.6252369197
490	0.625002112
491	0.6248851729
492	0.6247401676
493	0.6244990511
494	0.6244027817
495	0.6241665796
496	0.6238877369
497	0.6236708087
498	0.6234590048
499	0.623401127
